Cruise,Lat,Lon,DateTime,Depth,Cryptos,Coccos,Syn,Pro,Pico,Nano
AMT20,18.691,-37.5228,28/10/2010 07:00,2.5,4,7,1549,140728,888,248
AMT20,17.9128,-36.9839,28/10/2010 14:07,2,3,19,1219,175143,1017,275
AMT20,16.1883,-35.8048,29/10/2010 06:41,2.1,1,12,1708,321486,1018,275
AMT20,15.4238,-35.2855,29/10/2010 14:07,1.8,0,9,1964,222105,699,131
AMT20,13.4658,-33.9539,30/10/2010 07:00,2.2,1,3,4947,230012,1048,188
AMT20,12.5455,-33.3289,30/10/2010 14:08,2.1,0,10,4011,211664,739,283
AMT20,10.5718,-31.9983,31/10/2010 07:14,2.5,7,7,8820,340880,1198,252
AMT20,9.7516,-31.4572,31/10/2010 14:12,4.3,0,13,17320,261704,1050,361
AMT20,7.8171,-30.1599,11-Jan-2010 06:39:00,2.9,4,13,29168,195296,1353,256
AMT20,6.7873,-29.484,11-Jan-2010 14:12:00,2.7,0,13,35155,122333,1118,317
AMT20,4.7998,-28.1611,11-Feb-2010 05:51:00,2.9,6,10,21646,389291,1743,251
AMT20,3.8856,-27.5648,11-Feb-2010 13:17:00,3.1,1,6,11560,205718,843,261
AMT20,-3.8472,-25.014,11-May-2010 06:07:00,1.3,0,7,967,254758,1722,277
AMT20,-4.8906,-25.0296,11-May-2010 13:11:00,2.2,3,9,986,239475,1290,429
AMT20,-6.0543,-23.7602,11-Jun-2010 05:46:00,2.8,2,15,1114,257707,1368,240
AMT20,-6.2674,-22.6974,11-Jun-2010 13:09:00,2,3,18,1557,308328,1394,347
AMT20,-12.5292,-19.022,11-Oct-2010 04:30:00,2,2,20,2019,313070,1365,271
AMT20,-13.4733,-19.9666,11-Oct-2010 13:07:00,1.9,0,6,2004,176337,1007,180
AMT20,-15.3313,-21.8412,11-Nov-2010 04:28:00,3.1,0,21,2022,230681,1023,197
AMT20,-16.3161,-22.8417,11-Nov-2010 13:07:00,4,2,15,2778,124477,1038,191
AMT20,-18.537,-25.1296,11-Dec-2010 11:00:00,2,0,20,2787,132273,887,183
AMT20,-20.3796,-25.0892,13/11/2010 04:31,2,0,12,2762,116852,1340,298
AMT20,-21.7052,-25.0971,13/11/2010 13:05,3.5,2,6,3776,59748,1329,314
AMT20,-23.8378,-26.5665,14/11/2010 04:55,2.7,4,7,4830,113331,1452,280
AMT20,-24.8191,-27.3597,14/11/2010 13:30,3.9,6,4,4018,105691,1298,408
AMT20,-26.8573,-29.0661,15/11/2010 05:36,3,2,9,5540,238531,1547,426
AMT20,-27.9154,-29.9846,15/11/2010 14:10,2.6,0,14,8335,156089,1752,399
AMT20,-29.9423,-31.8229,16/11/2010 05:31,2,0,0,4990,110350,1176,414
AMT20,-30.9977,-32.8167,16/11/2010 14:23,1.7,2,9,4553,106527,2605,950
AMT20,-33.0444,-34.8454,17/11/2010 05:30,2.4,3,6,6132,53344,3974,1034
AMT20,-34.1072,-35.9253,17/11/2010 14:12,3.1,3,6,5720,85370,2594,1308
AMT20,-36.0874,-38.0892,18/11/2010 05:32,2.7,58,28,218981,188790,13099,914
AMT20,-37.0936,-39.229,18/11/2010 14:11,6,29,0,128025,328981,10416,923
AMT20,-38.9224,-41.4561,19/11/2010 05:38,4.7,178,20,112215,26162,14754,1435
AMT20,-39.7914,-42.5517,19/11/2010 14:12,5.7,241,55,121157,10674,13333,4083
AMT20,-41.6548,-45.0941,20/11/2010 06:41,2.1,153,11,71578,2555,18299,5042
AMT20,-42.498,-46.2962,20/11/2010 15:12,2.9,169,9,22742,0,12903,3021
AMT20,-44.2002,-48.9401,21/11/2010 06:30,2.2,504,47,80921,8173,20470,10302
AMT20,-45.0164,-50.2846,21/11/2010 15:12,2.5,231,46,329960,0,27731,5279
AMT22,49.251,-13.0564,10-Dec-2012 12:10:00,5.3,NaN,NaN,47336,56308,NaN,NaN
AMT22,48.9277,-16.3695,13/10/2012 04:30,1.8,70,43,37285,2821,15956,2153
AMT22,47.8818,-17.2666,13/10/2012 13:01,1.8,70,59,23209,167738,8057,1388
AMT22,45.8774,-18.6081,14/10/2012 04:30,2.8,7,34,6491,201829,4185,893
AMT22,44.766,-19.3257,14/10/2012 13:04,1.9,20,50,11317,130751,4879,1437
AMT22,42.8173,-20.5778,15/10/2012 04:24,3,9,27,15205,136342,6293,1669
