Lat,Lon
-45.47,-49.118
-45.606,-49.443
-45.711,-49.562
-45.833,-49.701
-45.931,-49.792
-45.931,-49.792
-45.931,-49.792
-46.018,-49.872
-46.094,-49.958
-46.199,-50.079
-46.302,-50.191
-46.394,-50.29
-46.516,-50.426
-46.634,-50.555
-46.742,-50.664
-46.876,-50.799
-46.932,-50.87
-47.093,-51.106
-47.156,-51.195
-47.247,-51.324
-47.321,-51.435
-47.432,-51.599
-47.503,-51.705
-47.565,-51.774
-47.603,-51.814
-47.707,-51.955
-47.749,-52.086
-47.86,-52.236
-47.933,-52.353
-48.014,-52.436
-48.115,-52.572
-48.115,-52.572
-48.115,-52.572
-48.199,-52.692
